Text;Original Text;Tag;Url
"La capital de l’empire Noxien a été fondé autour du bastion immortel (The Immortal Bastion); la citadel d’un revenant redouté qui a terrorisé Valoran pendant des siècles. ";;LoadingScreen, Lore, Noxus, ImmortalBastion, Mordekaiser;
L’un des nombreux titres de Kled est « Haut-major commodore de la Compagnie Première Légion Troisième Multiplication Double Admiral Artillery Vanguard ».;;LoadingScreen, Lore, Kled;
Les Brackerns, une race d'énormes scorpions au corps de cristal, sommeillent dans les sables sous une vallée cachée de Shurima. ;;LoadingScreen, Lore, Shurima, Brackern;
Sai Kahleek est l'un des déserts les plus redoutés de Shurima, car il est peuplé par les voraces Xer'Sai.;;LoadingScreen, Lore, Shurima, Xer’Sai;
De nombreux Néantins (Voidborn) ont des noms issus de l'ancienne langue shurimane.;;LoadingScreen, Lore, Voidborn, Néantin, Shurima;
Le Dieu-Saule était un arbre ancien trouvé à Ionia, avant d'être abattu par Ivern le Cruel.;;LoadingScreen, Lore, SpiritTree, Ivern;
Une grande partie des exportations de Bilgewater provient des biens de valeur récoltés sur les carcasses de monstres marins vidés aux quais d'abattage.;;LoadingScreen, Lore, Bilgewater;
L'homme qui a précédé Shen en tant qu' « Oeil du Crépuscule » était son père, Kusho.;;LoadingScreen, Lore, Shen;
Les armes de Miss Fortune ont été fabriquées par sa mère pour un jeune Gangplank, qui a retourné les armes contre leur créateur.;;LoadingScreen, Lore, MissFortune, Gangplank;
Les légendes parlent d'un royaume au-delà du sommet du mont Targon, habité par de grands êtres célestes connus sous le nom d'Aspects.;;LoadingScreen, Lore, Targon;
"En utilisant de la chaux, de la cendre et l'écorce fossilisée d'arbres anciens, les Demaciens créent de la pétricite ; pierre absorbant la magie avec laquelle ils ont construit leurs murs.";;LoadingScreen, Lore, Demacia, Petricite;
Parfois connu sous le nom d'acier argenté ou d'acier runique, l'acier de Demacia est convoité pour sa durabilité, sa légèreté et ses interactions uniques avec la magie.;;LoadingScreen, Lore, Demacia;
Garen and Lux are siblings of the Crownguard family, who traditionally serve as the royal protectors.;;LoadingScreen, Lore, Demacia, Garen, Lux;
Fiora est à la tête de la Maison Laurent à Demacia, poste qu'elle a revendiqué après avoir tué son père en duel.;;LoadingScreen, Lore, Demacia, Fiora;
Lorsque les plans de Zaun de créer une voie navigable entre l'est et l'ouest de Valoran ont mal tourné, Janna a évité des milliers de morts et est maintenant vénérée par beaucoup comme une déesse.;;LoadingScreen, Lore, Zaun, Janna;
"De nombreux trolls du givre se sont ralliés au ""Roi des Trolls"" autoproclamé, Trundle.";;LoadingScreen, Lore, Troll, Trundle;
Les artefacts de Glace Pure détiennent un pouvoir incroyable, mais seuls les Iceborn peuvent les manier.;;LoadingScreen, Lore, GlacePure, Iceborn;
Avant de devenir une Sorcière de Glace, Lissandra a été définitivement aveuglée par les griffes d'un Ursine.;;LoadingScreen, Lore, Lissandra, Ursine;
"Le club Glace Pure de Trundle s'appelle ""Boneshiver"".";;LoadingScreen, Lore, Trundle;
On dit que le passage du temps est différent à Bandle City, donnant aux yordles une nature intemporelle.;;LoadingScreen, Lore, BandleCity, Yordle;
En raison de leur glamour, la vraie forme d'un yordle est difficile à percevoir pour les humains normaux.;;LoadingScreen, Lore, Yordle;
Avant la Ruine, les îles obscures étaient connues sous le nom d'îles bénies.;;LoadingScreen, Lore, IlesObscures;
"La masse de Mordekaiser s'appelle ""Nightfall"".";;LoadingScreen, Lore, Mordekaiser;
Pour conjurer un grand danger sous l'océan, les Marai illuminent les profondeurs avec une pierre de lune.;;LoadingScreen, Lore, Marai;
Les Vastaya sont des êtres chimériques qui doivent leur héritage à l'union d'humains et d'une ancienne race éteinte depuis longtemps.;;LoadingScreen, Lore, Vastaya;
Les basilics des Kumungu sont parfois élevés à partir d'œufs en tant que bêtes de guerre noxiennes.;;LoadingScreen, Lore, Noxus;
Les Drakehounds, un parent éloigné des dragons, sont gardés par des Noxiens riches, et peut-être stupides, comme animaux de compagnie.;;LoadingScreen, Lore, Drakehound, Noxus;
Les Warmasons sont chargés par Noxus non seulement de tracer et de planifier les infrastructures, mais aussi de repérer le territoire ennemi pour de futures invasions.;;LoadingScreen, Lore, Noxus, Warmasons;
"Les sœurs Katarina et Cassiopeia font partie de la famille Du Couteau; l'une des maisons nobles les plus prestigieuses de Noxus.";;LoadingScreen, Lore, Noxus, Katarina, Cassiopeia;
Originaires des rochers escarpés du nord de Demacia, se trouvent les Raptors rares et féroces. Seuls quelques individus sont connus pour se lier d'amitié avec ces bêtes et les chevaucher.;;LoadingScreen, Lore, Demacia, Raptor;
Les légendes racontent comment Avarosa, ancienne reine de Freljord, a été tuée par sa propre sœur.;;LoadingScreen, Lore, Freljord, Avarosan, Lissandra;
L'Incognium Runeterra à Piltover a été conçu pour localiser n'importe qui à Runeterra, mais son créateur est mort mystérieusement avant de révéler la formule qui l'alimente, le laissant inutilisable.;;LoadingScreen, Lore, Piltover;
Les plus riches de Zaun se trouvent souvent au niveau Promenade de Zaun, qui croise les régions les plus basses de Piltover.;;LoadingScreen, Lore, Piltover, Zaun;
Le niveau Entresol de Zaun est l'endroit où se déroulent la plupart des échanges et des affaires de la ville.;;LoadingScreen, Lore, Zaun, Entresol;
Le Puisard (Sump) comprend les niveaux inférieurs de Zaun.;;LoadingScreen, Lore, Zaun, Sump;
"Les âmes revendiquées par le Black Mist sont connues de certains comme ""les Déchus"". Bien qu'ils soient généralement incorporels, ils peuvent être blessés avec les bons outils, tels que la magie, l'argent ou même la lumière du soleil.";;LoadingScreen, Lore, BlackMist, Fallen, SentinelsOfLight;
Les îles bénies abritaient autrefois une ancienne société d'érudits qui rassemblaient des artefacts magiques et des documents historiques de tout Runeterra.;;LoadingScreen, Lore, ShadowIsle, Fallen, SentinelsOfLight;
Au-dessus de la ville de Nashramae se dresse une réplique du disque solaire, construite il y a longtemps pour honorer l'héritage perdu de l'ancienne Shurima.;;LoadingScreen, Lore, Nashramae, SolarDisk, Shurima;
Dans la ville shurimane de Nashramae, un festival est organisé pour célébrer Rammus. Des milliers de personnes se rassemblent pour rouler et culbuter autour de la ville en son honneur.;;LoadingScreen, Lore, Nashramae, Shurima, Rammus;
"Dans les entrailles de la capitale de Shurima se trouve ""l'Oasis de l'Aube"", d'où coulent presque toutes les rivières du pays.";;LoadingScreen, Lore, Shurima;
"Certains nomades shurimans ont créé des villes entières sur le dos du Dormun; d'énormes bêtes blindées qui errent dans les déserts.";;LoadingScreen, Lore, Shurima, Dormun;
La ville shurimane de Zuretta est gouvernée par la hiérophante Hadiya Nejem, qui se croit descendante du guerrier ascensionné Setaka.;;LoadingScreen, Lore, Shurima, Dormun;
À Shurima, ceux qui ont survécu à un rituel raté de l'Ascension sont connus sous le nom de Baccai, qui sont souvent tordus et malformés.;;LoadingScreen, Lore, Shurima, Baccai, Ascended;
Les Solari vénèrent le soleil et dénoncent toutes les autres formes de lumière comme inférieures. Leur foi domine les pentes du mont Targon.;The Solari revere the sun and denounce all other forms of light as inferior. Their faith dominates the slopes of Mount Targon.;LoadingScreen, Lore, Solari, Targon;
Garen a quitté la maison pour rejoindre l'Avant-garde Intrépide, l'une des forces militaires les plus élitistes de Demacia, alors qu'il n'avait que douze ans.;Garen left home to join the Dauntless Vanguard, one of Demacia's most elite military forces, when he was only twelve years old.;LoadingScreen, Lore, Garen, DauntlessVanguard;
Les Rakkor du Mont Targon passent une grande partie de leurs journées à combattre des pillards, à tuer des êtres d'un autre monde et à s'affronter entre eux.;The Rakkor of Mount Targon spend much of their days battling raiders, slaying otherworldly beings, and sparring amongst themselves.;LoadingScreen, Lore, Rakkor, Targon;
Il y a un jardin dans le sud d’Ionia où les fleurs consomment les souvenirs.;There is a garden in southern Ionia where flowers consume memories.;LoadingScreen, Lore, Ionia, GardenOfForgetting;
Khada Jhin est un nom de scène. La véritable identité de Jhin reste un mystère.;Khada Jhin is a stage name. Jhin's true identity remains a mystery.;LoadingScreen, Lore, Jhin;
"De son vivant, Hecarim était le chef de l'Ordre de Fer; une infâme confrérie de chevaliers montés.";"In life, Hecarim was the leader of the Iron Order; an infamous brotherhood of mounted knights.";LoadingScreen, Lore, Hécarim;
Utilisant des eaux enchantées enfouies profondément dans la terre, Maokai a transformé les îles désolées sur lesquelles il est né en un paradis verdoyant.;Using enchanted waters buried deep in the earth, Maokai turned the desolate islands he was born on into a verdant paradise.;LoadingScreen, Lore, Maokai;
Avec son dernier souffle, Sion a tué Jarvan I. La couronne du roi sert maintenant de mâchoire à Sion.;With his dying breath, Sion killed Jarvan I. The King's crown now serves as Sion's jaw.;LoadingScreen, Lore, Sion;
Wukong était autrefois connu sous le nom de Kong, mais après avoir battu son professeur au combat, il a obtenu un titre honorifique réservé uniquement aux étudiants les plus brillants de Wuju, devenant Wukong.;Wukong was once known as Kong, but upon besting his teacher in combat, earned an honorific reserved only for the brightest of Wuju students, becoming Wukong.;LoadingScreen, Lore, Wukong, Wuju;
"Le robot de Rumble est nommé ""Tristy"", en l'honneur d'un yordle qui est très important pour lui.";"Rumble's mech is named ""Tristy,"" in honor of a yordle who is very important to him.";LoadingScreen, Lore, Rumble, Tristana;
Poppy était autrefois une amie proche d'un homme nommé Orlon. Elle a repris son marteau à sa mort.;Poppy was once close friends with a man named Orlon. She took up his hammer upon his death.;LoadingScreen, Lore, Poppy;
"Blitzcrank a été créé par Viktor pour être un golem plus fort, plus rapide et plus intelligent; celui qui pourrait mieux aider les habitants de Zaun.";"Blitzcrank was created by Viktor to be a stronger, faster and smarter golem; one that could better help the people of Zaun.";LoadingScreen, Lore, Viktor, Blitzcrank;
"Ekko est l'un des ""Enfants Perdus de Zaun"", un groupe de jeunes Zauniens connus pour leurs méfaits à travers la ville.";"Ekko is one of the ""Lost Children of Zaun,"" a band of Zaunite youths known for their mischief across the city.";LoadingScreen, Lore, Zaun, Ekko;
"Illaoi brandit ""l'Œil de Dieu"", une idole de l'un des dieux de Buhru.";"Illaoi wields the ""Eye of God,"" an idol of one of the gods of Buhru.";LoadingScreen, Lore, Buhru;
Le bâton de l’Aquamancien permet à son porteur de commander l'eau et est attiré par le pouvoir de la lune.;The Tidecaller's staff allows its wielder to command water, and is drawn to the power of the moon.;LoadingScreen, Lore, Nami, Aquamancien;
Grâce à son cœur hextech, Camille a réussi à conserver une partie de son air de jeunesse malgré son âge.;Thanks to her hextech heart, Camille has managed to retain some of her youthful looks despite her age.;LoadingScreen, Lore, Camille;
Le lance-roquettes, le mini-pistolet et le pistolet électrique de Jinx sont nommés Fishbones, Pow-Pow et Zapper.;Jinx's rocket launcher, mini-gun and electric pistol are named Fishbones, Pow-Pow and Zapper.;LoadingScreen, Lore, Jinx;
Le Dr Mundo n'est pas vraiment médecin. Il pense juste qu'il en est un.;Dr. Mundo isn't actually a doctor. He just thinks he is.;LoadingScreen, Lore, Mundo;
Pantheon est l'un des Aspects du Targon et habite actuellement le corps d'un guerrier Rakkorien nommé Atreus.;Pantheon is one of the Aspects of Targon, and currently inhabits the body of a Rakkoran warrior named Atreus.;LoadingScreen, Lore, Targon, Rakkor;
Galio a été créé sur une période de deux ans par un légendaire sculpteur demacien nommé Durand.;Galio was created over a period of two years by a legendary Demacian sculptor named Durand.;LoadingScreen, Lore, Galio, Demacia;
Quinn et son frère jumeau Caleb sont nés dans la ville rurale de Demacian d'Uwendale.;Quinn and her twin brother Caleb were born in the rural Demacian town of Uwendale.;LoadingScreen, Lore, Demacia, Quinn, Uwendale;
Rengar est l'un des Kiilash, une tribu Vastaya de Shurima.;Rengar is one of the Kiilash, a vastayan tribe from Shurima.;LoadingScreen, Lore, Shurima, Rengar, Vastaya, Kiilash;
"Nami est l'un des Marai; une tribu vastayan des mers à l'ouest du mont Targon.";"Nami is one of the Marai; a vastayan tribe from the seas west of Mount Targon.";LoadingScreen, Lore, Nami, Marai, Vastaya, Targon;
Xayah et Rakan font partie des Vastaya Lhotlan, qui prospéraient autrefois dans les hautes terres Ioniennes.;Xayah and Rakan are of the Lhotlan vastaya, who used to thrive in the Ionian highlands.;LoadingScreen, Lore, Xayah, Rakan,  Ionia;
La tribu Vastaya de Wukong, les Shimon, habite dans les cimes des arbres les plus hauts d'Ionie.;Wukong's vastayan tribe, the Shimon, dwells amongst the canopies of Ionia's tallest trees.;LoadingScreen, Lore, Wukong, Ionia;
La nourriture préférée de Jax est les œufs, en particulier ceux d'un certain caravansérail de la ville Shurimane d'Uzeris.;Jax's favorite food is eggs, particularly those from a certain caravansary in the Shuriman city of Uzeris.;LoadingScreen, Lore, Jax, Shurima;
Les habitants de Bilgewater ont un grand respect pour les créatures monstrueuses des profondeurs, à tel point que leur monnaie est le Kraken d’or et le Serpent d’argent.;The people of Bilgewater have a great respect for the monstrous creatures of the deep, so much so, that their currency is Golden Krakens and Silver Serpents.;LoadingScreen, Lore, Bilgewater;
Les Voûtes Ecliptiques étaient autrefois considérés comme la banque la plus sûre de Piltover, avant que Jinx ne perce ses murs fortement renforcés.;The Ecliptic Vaults were once considered to be Piltover's most secure bank, before Jinx breached its heavily reinforced walls.;LoadingScreen, Lore, Piltover, Jinx;
Le fusil hextech de Caitlyn a été fabriqué par ses parents pour son vingt et unième anniversaire.;Caitlyn's hextech rifle was crafted by her parents for her twenty-first birthday.;LoadingScreen, Lore, Caitlyn;
Le marteau de Jayce est alimenté par un éclat de cristal Brackern des profondeurs des sables de Shuriman.;Jayce's transforming hammer is powered by a shard from a Brackern crystal from the depths of the Shuriman sands.;LoadingScreen, Lore, Jayce, Brackern, Shurima;
Taric, un ancien soldat demacien, est l'hôte de l'un des Aspects de Targon : le Protecteur.;Taric, a former Demacian soldier, is host to one of the Aspects of Targon: The Protector.;LoadingScreen, Lore, Taric, Demacia, Targon;
C'est sur le mont Targon que le Forgeur d’Etoiles rencontra pour la première fois les Targoniens, qui lui donnèrent le nom d'Aurelion Sol.;It was upon Mount Targon that the Star Forger first met the Targonians, who gave him the name Aurelion Sol.;LoadingScreen, Lore, Targon, AurelionSol;
Lorsque la fille humaine Orianna a succombé à des vapeurs toxiques, son père Corin a remplacé ses parties de corps défaillantes par des augmentations mécaniques, la transformant en une dame d'horlogerie.;When the human girl Orianna succumbed to poisonous fumes, her father Corin replaced her failing body parts with mechanical augments, transforming her into a lady of clockwork.;LoadingScreen, Lore, Orianna;
;The callers of the Serpent Isles sound enormous horns carved into cliffs to beckon forth great sea monsters.;LoadingScreen, Lore;
Twisted Fate est né des nomades riverains de la Serpentine, une rivière qui coule près de Bilgewater.;Twisted Fate was born to the nomadic river-folk of the Serpentine, a river flowing near Bilgewater.;LoadingScreen, Lore, TwistedFate, Bilgewater, Serpentine;
Le compagnon yéti de Nunu s'appelle Willump.;Nunu's yeti companion is named Willump.;LoadingScreen, Lore, Nunu;
Darius et Draven sont frères.;Darius and Draven are brothers.;LoadingScreen, Lore, Darius, Draven;
Le nom de Tahm Kench était celui d'un joueur qui avait conclu un marché avec le Roi de la Rivière. Ce nom est depuis devenu un synonyme de démon.;The name Tahm Kench was that of a gambler who made a bargain with the River King. That name has since become synonymous with the demon.;LoadingScreen, Lore, TahmKench;
Lorsque les rats des quais de Bilgewater se rassemblent en grands essaims, ils peuvent dévorer une personne adulte en quelques minutes.;When the wharf rats of Bilgewater gather in great swarms, they can devour a grown adult in minutes.;LoadingScreen, Lore, Bilgewater;
Des passerelles de pierre sombre connues sous le nom de Noxtoraa sont érigées au-dessus des routes dans les territoires conquis par Noxus.;Gateways of dark stone known as Noxtoraa are raised over roads in territories conquered by Noxus.;LoadingScreen, Lore, Noxus, Noxtoraa;
Hextech est la fusion de la magie et de la technologie, exploitant la puissance contenue dans des cristaux extrêmement rares.;Hextech is the fusion of magic and technology, harnessing the power contained within extremely rare crystals.;LoadingScreen, Lore, Hextech;
Piltover est le centre du commerce marchand de Valoran.;Piltover is the center of mercantile trade in Valoran.;LoadingScreen, Lore, Piltover;
Les puissants Chem-Barons de Zaun maintiennent une alliance souple qui empêche la ville de sombrer dans le chaos.;Zaun's powerful Chem-Barons keep a loose alliance that prevents the city from descending into chaos.;LoadingScreen, Lore, Zaun, ChemBaron;
Le Zaun Gris est l'atmosphère épaisse et chimique de Zaun qui peut être mortelle à respirer dans des lieux densément peuplé.;The Zaun Gray is the thick, chemical atmosphere of Zaun that can be fatal to breathe where densely settled.;LoadingScreen, Lore, Zaun;
L'architecture ionienne est connue pour sa fluidité harmonieuse avec la nature.;Ionian architecture is known for its harmonious fluidity with nature.;LoadingScreen, Lore, Ionia;
La Brume noire peut se manifester n'importe où à Valoran pendant la nuit de l’horreur, bien qu'elle frappe le plus souvent Bilgewater.;The Black Mist can manifest anywhere in Valoran during the Harrowing, though it strikes Bilgewater most.;LoadingScreen, Lore, DarkMist, Harrowing;
De nombreuses structures de Bilgewater sont fabriquées à partir de restes de navires éventrés sur ses côtes rocheuses.;Many structures in Bilgewater are made from remnants of ships gutted upon its rocky shores.;LoadingScreen, Lore, Bilgewater;
À Bilgewater, les morts ne sont pas enterrés - ils sont rendus à l'océan dans des cercueils submergés sous des pierres tombales flottantes.;In Bilgewater, the dead are not buried - they are given back to the ocean in submerged caskets below bobbing tombstones.;LoadingScreen, Lore, Bilgewater;
La Glace Pure ne fond jamais. la Glace Noire est de la Glace Pure qui a été corrompu.;True Ice never melts. Dark Ice is True Ice that has been corrupted.;LoadingScreen, Lore, TrueIce, DarkIce;
On pense que les Veilleurs sont piégés dans l'Abîme Hurlant.;The Frozen Watchers are believed to be trapped in the Howling Abyss.;LoadingScreen, Lore, Watcher, HowlingAbyss;
La lame croisée de Sivir, le Chalicar, appartenait autrefois à Setaka, une Reine Guerrière Ascensionnée de Shurima.;Sivir's crossblade, the Chalicar, once belonged to Setaka, an Ascended Warrior Queen of Shurima.;LoadingScreen, Lore, Sivir, Shurima;
Illaoi était le premier amour de Gangplank.;Illaoi was Gangplank's first love.;LoadingScreen, Lore, Illaoi, Gangplank;
Des événements fantastiques peuvent indiquer où le voile séparant Runeterra et le Néant s'est effilé.;Fantastical occurrences may indicate where the veil separating Runeterra and the Void has worn thin.;LoadingScreen, Lore, Void;
Certains disent que les yordles connaissent des passages secrets à travers Runeterra que d'autres ne peuvent pas percevoir.;Some say yordles know secret ways through Runeterra others cannot perceive.;LoadingScreen, Lore, Yordle;
La Dame barbue, la Mère d'en bas et Nagakabouros sont tous des noms que les natifs de Bilgewater appellent leur divinité.;The Bearded Lady, Mother Below, and Nagakabouros are all names Bilgewater natives call their deity.;LoadingScreen, Lore, Bilgewater;
Situé loin de la civilisation, le mont Targon est totalement isolé, accessible uniquement par le chercheur le plus déterminé.;Located far from civilization, Mount Targon is utterly remote, reachable only by the most determined seeker.;LoadingScreen, Lore, Targon;
Ceux qui sont Ascensionnés par le Disque Solaire de Shurima peuvent vivre des milliers d'années.;Those Ascended by the Sun Disc of Shurima can live for thousands of years.;LoadingScreen, Lore, Shurima, Ascended;
L'armée de Demacia est souvent en infériorité numérique, mais c'est sans doute l'armée la plus élitiste et la mieux entraînée de Runeterra.;Demacia's army is often outnumbered, but is arguably the most elite, well-trained army in Runeterra.;LoadingScreen, Lore, Demacia;
Votre champion continuera d'attaquer après un simple clic.;Your champion will continue attacking after only a single click.;LoadingScreen, NoobTip, NoobTipLow;
Dans le menu Options, vous pouvez attribuer un raccourci clavier qui peut ouvrir et fermer la boutique d'objets (’P’ par défaut).;In the Options menu, you can assign a keybind that can open and close the Item Shop.;LoadingScreen, NoobTip, NoobTipLow;
Les Bushs, les zones herbeuses autour de Summoner's Rift, vous cache des ennemis.;Brush, the grassy areas around Summoner's Rift, hides you from enemies.;LoadingScreen, NoobTip, NoobTipLow;
Vous bénéficiez des avantages des objets dès que vous les achetez. Pas besoin de s'équiper !;You gain the benefits of items right when you buy them. No need to equip!;LoadingScreen, NoobTip, NoobTipLow;
